9.902499999999999636e-01,4.000000000000000000e+01
9.925000000000000488e-01,3.800000000000000000e+01
9.912499999999999645e-01,4.500000000000000000e+01
9.869999999999999885e-01,4.400000000000000000e+01
9.887500000000000178e-01,4.600000000000000000e+01
9.902499999999999636e-01,4.400000000000000000e+01
9.927500000000000213e-01,3.700000000000000000e+01
9.865000000000000435e-01,4.000000000000000000e+01
9.875000000000000444e-01,4.600000000000000000e+01
9.897500000000000187e-01,5.000000000000000000e+01
